source,target,value
MLB Men,Democrat,3456980
MLB Men,Republican,15149261
MLB Men,Other,1300983
NBA Men,Democrat,2355939
NBA Men,Republican,7983900
NBA Men,Other,1017300
NHL Men,Democrat,1595133
NHL Men,Republican,6831316
NHL Men,Other,246766
NFL Women,Democrat,324190
NFL Women,Republican,3299600
NFL Women,Other,242500
NFL Men,Democrat,549310
NFL Men,Republican,1732870
NFL Men,Other,480650
WNBA Men,Democrat,1556033
WNBA Men,Republican,436109
WNBA Men,Other,166093
MLB Women,Democrat,1727624
MLB Women,Republican,32500
MLB Women,Other,12700
WNBA Women,Democrat,78120
WNBA Women,Republican,902350
WNBA Women,Other,23750
NASCAR Men,Democrat,93983
NASCAR Men,Republican,576110
NASCAR Men,Other,61000
NBA Women,Democrat,285548
NBA Women,Republican,339700
NBA Women,Other,44500
NHL Women,Democrat,131600
NHL Women,Republican,255800
NHL Women,Other,27000